OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2416,10-333,3,30,Engativa,CERTIFICADO,Bolsillo,SANTA MARÍA DEL LAGO,,10,,"-74,0925146631948","4,691388766254148"
2432,08-126,3,44,Kennedy,CERTIFICADO,Vecinal,LAS AMÉRICAS OCCIDENTAL III ETAPA,,8,,"-74,13883322487035","4,623801858065474"
2435,06-006,3,42,Tunjuelito,CERTIFICADO,Vecinal,URBANIZACIÓN LA LAGUNA,,6,,"-74,14007270502802","4,5923248487348145"
2436,06-003,3,42,Tunjuelito,CERTIFICADO,Bolsillo,URBANIZACIÓN LA LAGUNA,,6,,"-74,14049857833791","4,589802231663919"
2452,19-060,2,65,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA BAJA,,19,,"-74,14898395761219","4,575312801711075"
2456,04-281,2,50,San Cristobal,CERTIFICADO,Bolsillo,LAS GUACAMAYAS,JAC GUACAMAYAS II SECTOR,4,,"-74,09939883455185","4,556307755175775"
2463,08-580,3,45,Kennedy,CERTIFICADO,Vecinal,CARIMAGUA I SECTOR,,8,,"-74,1453741683728","4,607438590055256"
2471,08-579,3,46,Kennedy,CERTIFICADO,Vecinal,CASTILLA LA NUEVA,,8,,"-74,14668590137624","4,63772154372249"
2481,11-028,3,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN POTRERILLOS DE SUBA,,11,,"-74,09574793795589","4,736323971977807"
2489,11-931,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COLINA LINDA,,11,,"-74,08382069870481","4,707239507497388"
2500,12-069,4,98,Barrios Unidos,CERTIFICADO,Bolsillo,SAN FELIPE,,12,,"-74,06534132698525","4,663444755034456"
2505,11-960,5,24,Suba,CERTIFICADO,Vecinal,AGRUPACIÓN GRATAMIRA,,11,,"-74,07227080307703","4,727979308305913"
2509,19-598,1,68,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,LA JOYA CENTRO EDUCATIVO,,19,,"-74,14455969554908","4,53750814495034"
2510,19-599,1,68,Ciudad Bolivar,CERTIFICADO,Vecinal,LA JOYA CENTRO EDUCATIVO,,19,,"-74,14527202812836","4,537681712085671"
2511,19-600,1,68,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO SAN RAFAEL - LOS DUQUES,,19,,"-74,14075863657025","4,534552752771539"
2514,11-955,2,18,Suba,CERTIFICADO,Bolsillo,AGRUPACIÓN DE VIVIENDA YERREYON,,11,,"-74,05899149511876","4,744280501121362"
2515,10-606,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA SERENA,,10,,"-74,091021285451","4,71013009474096"
2522,11-765,2,18,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LA CHOCITA,,11,,"-74,0638306539773","4,747459342216189"
2524,10-297,3,73,Engativa,CERTIFICADO,Vecinal,BOSQUES DE GRANADA,,10,,"-74,12424589844235","4,718739159342832"
2525,10-300,2,74,Engativa,CERTIFICADO,Vecinal,SANTA LIBRADA,,10,,"-74,1404334176913","4,718602219713972"
2526,10-302,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN TISQUESUSA,,10,,"-74,0962261242072","4,702449269369956"
2527,10-323,2,74,Engativa,CERTIFICADO,Vecinal,VILLA CONSTANZA (HUMEDAL JABOQUE),,10,,"-74,12793386806092","4,709039771252002"
2530,11-965,3,18,Suba,CERTIFICADO,Vecinal,SOTAVENTO,,11,,"-74,0556298942227","4,742677751003757"
2535,10-326,2,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN BACHUÉ I ETAPA,,10,,"-74,10520914454688","4,716802736788813"
2540,10-419,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN TISQUESUSA,,10,,"-74,09542654590007","4,702712297839332"
2543,11-854,4,27,Suba,CERTIFICADO,Vecinal,CONJUNTO RESIDENCIAL VERACRUZ,,11,,"-74,08858458727653","4,745971980357481"
2544,11-855,4,27,Suba,CERTIFICADO,Vecinal,PARQUE RESIDENCIAL LOS ROBLES,,11,,"-74,08620394172999","4,745860878217512"
2547,10-427,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN TISQUESUSA,,10,,"-74,09340957476229","4,7014486331669625"
2555,19-542,1,UPR3,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO REPÚBLICA DE CANADÁ,,19,,"-74,15130209344053","4,532070708276291"
