"mgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_m","colegios_count_m","paraderos_count_m","parques_count_m","estaciones_count_m","viasprincipales_count_m","viassecundarias_count_m","viviendas_count_m","hogares_count_m","personas_count_m","comercial_count_m","lotes_count_m"
19,4.75046,4.7628,-74.11,-74.09664,1,5,34,32,0,1,487,15551,16012,49341,390,2079
20,4.75046,4.7628,-74.09664,-74.08327,1,20,29,34,0,1,697,6000,6923,25194,342,2995
21,4.75046,4.7628,-74.08327,-74.06991,2,9,11,13,0,2,353,2268,2561,8953,98,1033
22,4.75046,4.7628,-74.06991,-74.05655,6,22,29,40,0,2,224,5025,4968,16526,208,631
23,4.75046,4.7628,-74.05655,-74.04319,3,9,21,42,1,4,536,8906,9167,30700,882,2712
24,4.75046,4.7628,-74.04319,-74.02982,3,12,23,40,0,2,369,6547,7229,22848,457,1744
25,4.73812,4.75046,-74.13672,-74.12336,NA,3,21,6,0,NA,533,5881,7077,27038,264,5794
26,4.73812,4.75046,-74.12336,-74.11,1,15,56,32,0,1,1175,15456,19113,71739,702,10834
27,4.73812,4.75046,-74.11,-74.09664,4,29,55,45,0,1,1201,18735,20234,70598,1368,9182
28,4.73812,4.75046,-74.09664,-74.08327,9,24,29,69,3,4,692,10484,11692,40710,1275,4264
29,4.73812,4.75046,-74.08327,-74.06991,1,8,18,8,0,2,340,2103,2540,9549,68,1153
30,4.73812,4.75046,-74.06991,-74.05655,4,8,39,59,0,NA,259,8104,7976,25644,270,1336
31,4.73812,4.75046,-74.05655,-74.04319,6,14,39,28,2,2,297,8270,8501,26911,1039,1931
32,4.73812,4.75046,-74.04319,-74.02982,7,8,43,31,0,2,517,12410,12717,40865,1166,3448
33,4.72578,4.73812,-74.15009,-74.13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,4.72578,4.73812,-74.13672,-74.12336,1,NA,5,NA,0,1,67,413,419,1392,16,53
35,4.72578,4.73812,-74.12336,-74.11,NA,8,12,19,0,1,194,6262,6303,21498,196,623
36,4.72578,4.73812,-74.11,-74.09664,3,15,48,34,0,1,1187,17962,21003,73465,1066,9181
37,4.72578,4.73812,-74.09664,-74.08327,2,38,36,43,0,3,1297,18537,23180,78574,1332,8650
38,4.72578,4.73812,-74.08327,-74.06991,3,3,23,47,2,3,411,3849,4272,15233,87,831
39,4.72578,4.73812,-74.06991,-74.05655,6,7,37,37,0,1,289,8496,8190,25842,305,479
40,4.72578,4.73812,-74.05655,-74.04319,5,16,39,35,3,1,430,13178,12865,37476,991,2575
41,4.72578,4.73812,-74.04319,-74.02982,5,7,29,39,0,3,434,13606,12837,38497,468,2177
42,4.71344,4.72578,-74.16345,-74.15009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,4.71344,4.72578,-74.15009,-74.13672,1,7,14,6,0,NA,350,4280,4698,18184,377,2694
44,4.71344,4.72578,-74.13672,-74.12336,NA,10,38,26,0,2,644,5110,5527,20969,368,3582
45,4.71344,4.72578,-74.12336,-74.11,4,27,74,29,0,3,670,16053,16644,56889,953,4201
46,4.71344,4.72578,-74.11,-74.09664,3,8,23,14,0,2,676,16033,18140,65924,852,3447
47,4.71344,4.72578,-74.09664,-74.08327,2,21,44,30,0,NA,1137,13454,16284,57622,1218,6907
48,4.71344,4.72578,-74.08327,-74.06991,1,11,17,50,1,2,504,4912,4890,16132,420,1713
49,4.71344,4.72578,-74.06991,-74.05655,6,13,31,54,0,2,551,12356,12534,39664,1306,3070
50,4.71344,4.72578,-74.05655,-74.04319,13,19,36,29,2,2,485,6035,6270,19848,1555,2580
51,4.71344,4.72578,-74.04319,-74.02982,10,8,33,16,0,2,347,6931,6558,18247,406,794
52,4.70111,4.71344,-74.17681,-74.16345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,4.70111,4.71344,-74.16345,-74.15009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,4.70111,4.71344,-74.15009,-74.13672,NA,7,21,10,1,NA,429,6384,7037,26900,753,3938
55,4.70111,4.71344,-74.13672,-74.12336,5,18,55,37,0,NA,1135,18971,19725,71902,2122,10648
56,4.70111,4.71344,-74.12336,-74.11,10,34,51,34,1,2,1064,16471,17638,62225,1793,9077
57,4.70111,4.71344,-74.11,-74.09664,10,27,44,99,3,2,1119,17965,19822,69135,2258,6822
58,4.70111,4.71344,-74.09664,-74.08327,2,9,18,40,0,1,606,8287,9418,34992,554,3992
59,4.70111,4.71344,-74.08327,-74.06991,8,5,32,27,2,4,465,2734,2612,8448,227,1629
60,4.70111,4.71344,-74.06991,-74.05655,4,5,20,20,0,3,417,9185,9253,26604,468,2279
61,4.70111,4.71344,-74.05655,-74.04319,9,8,25,31,1,2,322,3441,3320,9867,582,871
62,4.70111,4.71344,-74.04319,-74.02982,4,3,36,37,0,3,252,NA,NA,NA,NA,NA
63,4.68877,4.70111,-74.17681,-74.16345,2,2,8,7,0,1,251,2138,2554,8595,278,1192
64,4.68877,4.70111,-74.16345,-74.15009,NA,4,20,17,0,1,323,2992,3094,10691,288,1681
65,4.68877,4.70111,-74.15009,-74.13672,1,NA,10,4,0,1,194,1534,1564,5675,166,785
66,4.68877,4.70111,-74.13672,-74.12336,3,5,21,8,0,1,391,5805,6069,22106,880,3419
